,SegName,SegNum
720,JK Final Push ,20726660
721,Mount Maspeth,19556976
722,Mount Olivet -->,34129948
723,Fresh Ponderings,34976120
724,Flush - 69th,32317835
725,Juniper Loop,10137805
726,Juniper Valley North,24517454
727,Juniper South Sprint,7615148
728,Juniper Blvd. Bumps,23420597
729,Make it through the Juniper light!!!,27767270
730,80th to Woodhaven,20944422
731,Juniper Park U-Turn,5682653
732,Juniper OMW to work,3644656
733,Cars drive on Juniper to get more _,31393642
734,Juniper Valley Baseball Fields U Turn,33847971
735,Dartmouth downhill,9464842
736,Thornton Hill,9875431
737,burns drop,27715057
738,67th Ave Climb (Sprint!),13631908
739,Austin St Ends,10067258
740,Cote d' Crescents ,24434253
741,Alderton Climb,11631971
742,Y.stone & Burns -> Austin -> 67th Dr Climb -> QB Finish,32459711
743,Fleeting,31393811
745,Yellowstone/Jewel Climb x Queens Blvd,10700387
746,69th: Climb into Forest Hills,10503613
747,Climb of Doom,28309559
748,3:16,31475106
749,"Austin, NYC",30651666
750,Bump Ahead,7807438
751,"Lead the way, Greenway.",10646924
752,72 Ave Short Climb,19817903
753,N/B Park Dr - Sprint to 72Av,10646727
754,Charm Circle TT,21489815
755,main to park dr east on 72nd av,10700474
756,78th Dr hill sprint,21348615
757,Highway by-way,35376963
758,77 squiggle climb,34129993
759,77 hill,34773999
760,Parson's Ascend,779352
761,"168th st, Goethals ave to grand central pkwy",16260980
762,Alan Parsons Proj,31274570
763,3100 loop,1712982
764,Queen Hospital Bus Stop Climb,3833708
765,Grand Central Utopia ,34573378
766,GCP...midland pkwy to doncaster pl.,29737335
767,197 To Marengo,24190810
768,hillside -dunton,12834205
769,Hillside 197th to 188th,13332105
770,midland 2 188th St ,7276197
771,holliswood snake,10429318
772,188th climb to the park,30450735
773,91st Ave,25761120
775,6th ave up from Houston to Greenwich,18569797
776,Gansevoort to Christopher,18192824
777,Mac Dougal Street Climb,3190707
778,13th Street Sprint,20206166
779,8th Ave in the West Village,13793049
780,The Waverly Place Sprint,25219633
781,Bank-Wevelgem,6279288
782,Christopher Street,24074265
783,7th Ave 11th St to Houston,5104386
784,2nd ave - W22nd to St Marks,15842794
785,Park Avenue Climb,3371430
786,E9th to E17th on 4th ave/Park,15763283
787,First avenue loop,15556409
788,ERE- Skyport to C,20770642
789,22-15 East River Bikeway,19145315
790,UN Int'l School & Waterside Plaza Club S-bound,21643001
791,Avenue C loop,15556391
792,Freeman Street (McGuinness to Franklin),16544497
793,McGuiness Sprint w/ Trucks,13310524
794,Manhattan not Manhattan,5296637
795,Pulaski Bridge Twist,7488362
796,Greenpoint Ave Hill Sprint of Death,3843506
797,Provost or bust!,25267227
798,The Greenpoint 1/4 Mile Sprint,24415585
800,KoÅ›ciuszko Queens-side Climb,21638460
801,Squiggle,23135797
802,KoÅ›ciuszko Queens Descent,21638486
803,lenoble lumber and lazers,15497360
804,under the bridge,15497357
805,The exciting way to the Kosciuszko,28836659
806,58th Street northbound climb,2646086
807,shady hill,15497349
808,Laurel Hill Blvd. underpass east,2617223
809,Laurel Hill Blvd. underpass west,2617247
811,A little fun!,26485938
812,cote du maspeth,2694262
813,Cote du Maspeth between the lights,7213896
814,65th Street kick-up,2617240
815,53rd Drive climb,3053869
816,Baby Back Hill,5995036
817,65th hills,7410927
818,74th street climb,25539293
819,N65,33927769
820,Queens Blvd - Grand Ave to Woodhaven Blvd,22326869
821,Broadway to 90th st.,18436635
822,Aleister Crowley Descent ,31897316
824,Horace Harding Express,7779071
825,66th to Horace Harding via QB,33258478
827,Meadow circle ,5421180
828,Meadow Lake//Inside Track,4079484
829,Meadow Sprint North ,7465534
830,Meadow Lake,1478306
831,Meadow Lake Sprint South,21853343
832,grand central bikeway sprint,30649965
833,GCP 65th-68th Avs ,31888639
834,Worlds Fair Race counter clockwise,28940234
835,col de 136th,4687304
836,John Bowne HS sprint,21514381
837,QC Track CCW,10646734
838,150 jewels,31393602
839,l8 4 class ?,10728813
842,elechester dash,10571236
843,Jewel to Horace Harding downhill,10955494
844,Climb past the Precinct,19520421
845,Kissena Blvd: I-495 to Kissena Curve,10533086
846,P'NOK BUMP,10558962
847,KEEP UP WITH THE CARS! Pomonok Service Road Climb,10483437
848,Parsons Climb to Jewel Southbound,19520412
849,73 to 69 sprint via 164,29067880
850,Sprint to Utopia,3833842
851,Utopia Hill,7813183
856,let er' rip,12446048
857,Middle Woods Loop,22627185
858,Over 73rd South Bound,23045530
859,Le Mans Queens Cycling ,11637216
860,cunningham loop,10235737
861,UTP: Bell Blvd. To Springfield Blvd.,2692026
862,SaWyEr To UnIoN TuRnPiKe,19568373
863,Springfield: UTP 2 Hillside,2692032
864,Three Climbs,15693904
866,14th Street Cobbles,26763896
867,"03.0 - NB, W17th - W22nd (WSH)",5106957
868,Race to MSG,24941640
869,RSK: South:  9th Ave W31 to W23,12183357
870,9th ave 29th to 18th SB,7762458
871,10th ave - 14th to 22nd,16091397
872,Rise to 9th,4938723
873,Sprint Past Grumpy,4041840
874,9th ave: 34th to 16th,16003619
875,If the Pins embrace the ball... so it be,22764197
877,8:57,10919523
878,Empire state of mind (southbound on 5th),11238721
879,Wholesale District Broadway Bomb,14847860
880,E 38th St Climb,1326291
881,East 26th Street Climb,3037785
882,Madison Hill (32-34),10839761
883,Down Lexington,23396561
884,1st ave Tunnel,9068633
885,The last uphill,7894541
886,48th to 44th Climb,5314137
887,685 First Avenue Citi Bike dock to Dag Hammarskjold Plaza,25644230
888,East River Platform (UN and U Thant Island),21643068
889,Hunters Point Angle,5955725
890,23rd Street Twist ,16566020
891,Enth St,4848196
892,11th St LIC U L8R,23230189
893,Time to start cooking rice ðŸš,27902496
894,Egg salad is an abomination,25168222
895,PS1 Sprint,16544504
896,Lower Roosevelt Crit (reverse),16294403
897,Skillman to 49th,16609058
898,Court Sq to Pulaski,35250947
899,Skillman Blast,11825598
900,43rd Avenue Hill,2640502
901,Sunnyside Yards/Queens Blvd Bridge,4253434
902,"Honeywell St Bridge, N/B",4563534
903,Skillman Ave,12721873
904,Stairway to Sunnyside,24634514
905,N.Blvd (31 - 37),11702841
906,"39th Street Bridge, S",2221426
907,Honeywell St. South ,7841168
908,47th Avenue - Just the climb,20106034
911,43rd Final Sprint,7723495
912,Roosevelt Climb,5463466
913,Skillman Screamer,13174021
914,Doughboy Turn,3684230
915,bliss out,15275846
916,Windmuller sprint hill to Skillman,2645749
917,43rd st climb,16451475
918,39th to Queens Blvd,12440704
919,34th Av. Travers Park to I-278,5534178
920,65th Place - Queens Blvd to Woodside Ave,3723532
921,woodside climb,10477906
922,65th Pl Climb,3674779
923,climb to the ice cream truck,28195285
924,Welcome to Woodside,19644104
925,Pigeon Paradise ,35232938
926,Climb the hill to make the train,15381613
927,Travers to 69th,29442021
928,Bway Woodside to Whitney,19124722
929,Climb to Elmhurst Hospital,33258466
930,43rd Ave Hill,13062750
931,108St Descent & Ascent  ,34854431
935,Eisenhower Sprint,7474868
936,Perimeter Road Loop,4037940
937,Park Office to Unisphere Ascent,13670475
938,industryPond10kTT,9448814
939,Ed Tischler Tribute Sprint,12875705
940,Shea Rd Loop - Circle,24712554
941,Zig Zag Loop Around,28363223
942,Bury the booth memorial,12006706
943,Up Through the Garden,15117659
944,Colden Curve,10645238
945,57th Rd to Main St,19245001
949,Flying 200,8646723
952,Kissena Park 164th Street Downhill,3884715
953,Under the Willow Tree - I,10497065
955,KISSENA LAKE CCW,10533842
956,Family,17945599
957,Booth Memorial sprint F.M. La. to Utopia,6879926
958,FM Lane Along Kissena Golf Course,25804660
959,Underhill sprint west,12523741
960,Long Island Expressway Climb,5337021
961,Full Gas Up Utopia,9882518
962,Hollis Court Sprint,11532407
963,188th Push to Utopia,25346370
965,Moto Track,8110549
967,last and tight ,22148148
968,Iguana,9128939
969,CHP Horace Harding West Riser,5650100
970,Cunningham's Humps,19606529
971,A Couple of Blox,2436666
972,Preppin',5711449
973,The Home Stretch,2555388
974,2.2% 73rd Ave sprint,12954092
975,Springfield to East Hampton Along Alley Pond,4443892
976,LIE to Cloverdale,11975003
977,73rd Ave Alley Pond Park Climb,3833755
978,Alley Pond Park Borders Hills,2698141
979,"05.1 - SB, W46th - W38th (WSH)",5107535
980,Final stretch to Josh's Apt,15296129
981,"05.0 - NB, W38th - W46th (WSH)",5106994
982,hudson path: 34th for 42nd,2512625
983,11th ave - 30's,21813039
984,real 34th st,7316123
985,11th ave - 40's,21813029
986,Bryant Park Sprint,9319389
987,5th 52nd to 44th,6087828
988,8th ave climb - 42nd to 56th,14097170
989,6th Ave hustle from Bryant Park to Central Park!,17426543
990,6 and a half,3794581
991,7th Ave 53rd to 44th,5104446
992,Frankie Shane Lane,2103669
993,Times Square smash,24470857
994,Queensboro Climb,5456486
995,2nd Ave midtown 57th to 50th,5534236
996,Sutton Sprint,5008179
997,"coming off bridge, to work",6969910
998,all cars are bad,27327868
999,59th St dash... don't run the lights,8304416
1000,53rd St - Sutton sprint climb,4966572
1001,QBB Entrance,11983847
1004,Rainey to Queesbridge South,24683219
1005,R.I Bridge Westbound (Elevator Access),18425589
1006,R.I. Bridge Eastbound,1263248
1007,Approach to Queens Cut-off,11983890
1008,Queensbridge to Rainey North,24683250
1009,Ramp up to Roosevelt Island Bridge,11898419
1010,Roosevelt Island loop (without FDR Park),7314899
1011,2016 FBBT Mile 15,11765178
1012,Cresent - 30th to 39th,7660033
1013,34th Ave Hill,12164298
1014,bway climb,10546403
1015,30th Street (Broadway -> 36th Ave),16547382
1016,31st and send,29885865
1017,fly by steinway,2132371
1018,Broadway to 31st Ave,20735625
1019,Newtown north,2288370
1020,Broadway to 48th Sprint,33258441
1021,Short grind over 32nd,14585965
1022,69th-75th Northern,34157346
1023,this Jackson's height?,35232930
1025,ðŸŒŽ downhill into the gateway!,26009474
1026,Ditmas to City field via marina,26280473
1027,ðŸŒ uphill out of the gateway!,26009493
1028,Too Promenade,16016317
1029,Ditmars climb,1592797
1030,why is queens just random numbers,30650129
1031,Northern to Astoria Blvd,30866483
1035,Prince Street Pop,2291420
1036,Roosevelt Av East over Flushing Creek,10621223
1037,Shea Rd Loop - Boat Basin Pl,24712619
1038,Prince Street Pop,2339784
1039,Franklin Ave to YMCA,15711889
1041,lirr station bump,10628520
1042,Franconian Hill,12501423
1043,Franconia Climb,12501418
1044,S/B 149th st - murray hill ,10383738
1045,don't ride on the sidewalk,8585776
1047,E. Hampton Blvd - 50th to 57th Ave.,5854579
1048,Oakland Lake Hill Short,8238967
1049,Oakland Lake with left turn,8238972
1050,Oakland Lake Drop (QCC to Northern),10621209
1051,nothern blvd to douglaston hill,35141799
1053,Walk the bike,12489008
1054,66 Light to Light,5128527
1055,Amsterdam to West End 60th St Bomb,24070364
1056,57th street hill bomb,27217966
1057,10th Ave Hill btwn 54th and 61st,1343384
1058,the light fantastic,12256364
1059,W61 hill (WEA to Amsterdam),20951007
1060,58th Street Climb,23490027
1061,58th St Hill 11th to 10th Ave,4266725
1065,72nd Grand Finale,7940201
1066,Terrace Dr West to East,5502783
1067,72nd to 60th Loop,9974942
1068,Cats Paw Slippery Dip,16425679
1069,5th Avenue Mornings,3990142
1070,MADISON - 72ND TO 78TH,7065036
1071,Cat's Paw Sprint,849072
1073,Gracie Mansion Carl Schurz Hill,10626456
1074,76th st Sprint to 89th st,9554356
1075,Ramp It Up,22437778
1076,NYCEwheels Bke Shop,10247829
1077,84 - PARK 2 2ND,9802663
1078,EAST END AVENUE CLIMB,7065289
1079,Arturo's hill on York Ave.,16125309
1080,Carl's Sprint,23867278
1081,Costco Downhill,4299419
1082,8th street Hiccup,1590704
1083,Steep hill sprint,7716349
1084,Astoria Park South,24683162
1085,12th St. Coast,24873732
1086,Cars can't pass ya,26500481
1087,Mt Sinai Climb,5694598
1088,Astoria Park Riser,1342166
1089,Socrates to Park (MTB),9640227
1090,Crescent to Vernon,24683015
1091,28th to 24th Av Dash,9217237
1092,Ditmars to 27th to bridge,6691031
1093,31st to Crescent (24th Ave),7314835
1094,24th > 35th Climb,9435526
1095,Crescent sprint,21778457
1096,23rd Ave. Speedway,4121385
1100,Ditmars Straight (43rd - Hazen St),11975017
1101,St Michael's Cemetery strip,5551622
1102,haul ass and make the light!,10886063
1103,short hill climb,10509736
1104,One Way âž¡ï¸Ticket ðŸŽ« to Rikers,26066636
1105,21st Avenue Ramp,3779563
1106,75th Street Pop,1438604
1107,Col de Vingt et Trois,1438618
1108,That hill tho,18205197
1109,Up is what counts. 94th st. ,23702339
1110,Runaway on the Runway,30650256
1111,Tiny Grind,28840176
1112,The best segment in NYC,30650035
1113,ACAB: NYðŸ·D,22167962
1114,College Point Blvd Sprint Heading South,7025218
1115,Race to the peak in College Point,8180629
1116,Swamp Road ,9396408
1117,DðŸ·YN :BACA,22167979
1118,Swamp road back,12523347
1119,Real Race to the Peak,8182867
1121,Union busting ðŸ¤®,34130363
1122,215th Pl Hill,17751873
1123,ST.Mary climb,17814479
1125,From Shore Road to Richardson Park,4443686
1126,Ridge Road,1339224
1127,Park Lane Climb: 17% Grade,4290667
1128,ridge crossing,18067754
1129,hammer through the hood,15545985
1130,Northbound Ravine Trail,27775372
1131,DOUGLAS PENINSULA ,26416473
1132,next to ridge,3798087
1133,Douglaston  loop,8581771
1134,Guttenberg Rollers,18001611
1136,"We hawken', bro ",14322213
1137,The Lacemaker,12712670
1138,I am the cosmos,12712686
1139,Defino Way downhill (Blvd E to Port Imperial),7775089
1140,AMD Way (60th St),7216116
1141,60-68th Fun Hill,8307573
1142,54th Street ,8245208
1143,Bulls Ferry to State Line and Back,2016719
1144,W79 roundabout to W72 tunnel,14592448
1145,W79 Basin Detour North,21674444
1146,around the outside,13177243
1147,W79 RoundAbout Full Detour,20783298
1148,79th street hill,16388035
1149,Riverside Drive: W72 to W79,23132488
1150,Riverside Dr. 86th to 78th Hilll,1799065
1153,West Side 1k,9126055
1154,93rd St Sprint,1676831
1155,CP Northwest to East Cutthrough,20972247
1156,Middle Inter-Traverse CPW sprint,5730143
1157,Zelda,9488644
1158,5TH - 90TH 2 84TH,9802690
1159,CP inside lap from EG,16009492
1160,90th to 102nd (1st Ave way),10772257
1161,Lexington Ave - 103rd to 102nd Hill,1750576
1162,PARK - 90 2 84,9802684
1163,E  93rd Street Climb,25551800
1164,E. 91st Climb â€“Â 1st to 5th Ave.,23097555
1165,Captain to the Bridge!,21976521
1166,1st Ave Climb,2890277
1167,Quick climb 3rd to Lex,10217779
1168,up and over,18400123
1169,Lexington Ave - 104th to 92nd,1750528
1170,BCC - Footbridge to Randall's Island,14038591
1171,Hard pack it,25695108
1172,Randalls climb and dirt road,16268224
1173,Triboro Bridge Climb (Wards Island to Queens),12903091
1174,S Wards,14820608
1175,Salt Marsh Easy Up,9548206
1176,Ward's Island Bridge to Field 74 Speed Trial,9291513
1177,W.I. 300m Sprint,8013894
1178,400m Sprint,11752466
1179,Wards/Randall's CtrClckwise Full Loop,16654691
1181,Power Plant Climb (East),1649725
1183,Riverside Sprint (MTB),9640207
1184,Astoria Park Ditmars Climb,5466723
1185,Ditmars Park Pop,7583781
1186,Ditmars Park Climb,1738771
1187,"Mont Vingt et Un, River Approach",2392103
1188,Mont Vingt et un ,1474305
1189,Power Plant Hill Complete,8172257
1191,130th Onramp,4429571
1192,The Shiva Bowl ,8176069
1193,Whitestone Expy sprint southbound,5534200
1194,G U Harvey Two Laps (bec. One lap is too short for Strava),33733972
1195,Whitestone Expy Service Road Hill,33759296
1196,Little Bay Park E to W,15621440
1198,Cross Island Loop,10384508
1199,Fort Totten,776612
1200,Little Bay Park W to E,15621402
1201,Fort Totten X2 CCW,12718866
1202,Harbor hill half pipe,27173009
1203,Shore Cliff Climb,21513118
1204,Cinderella Man Northbound Hill ,14320921
1205,Cinderella Man Southbound - Hill 1,14320668
1206,Bull's Ferry,818535
1207,Guttenberg Waterfront Palisades Park Loop,25999350
1208,Park Sprint to 79th,7716188
1209,small hill test,4115883
1210,Bulls Ferry Descent,21458728
1211,Riverview Drive East,15881639
1212,Left Bend on the Left Bank,3026203
1213,Let's Do a 68,9288045
1214,Jelly Legged Last Blast,5998750
1215,NYC TRI 03 DESCENT 01,15010648
1216,W110th Climb - Sprint Block,14644720
1217,97th to 103rd Riverside Climb,5209226
1218,Full West 110th St. Climb,13961578
1219,Race to Frederick Douglass Statue,12686632
1220,West 96th ,5501005
1221,The 106 slope,25041314
1222,West End Ave Climb,2395373
1223,Real Hudson River Greenway to WEA Climb at 104th,5466704
1224,106 to Hudson (CHAIVY STERN),15317308
1226,The ACTUAL Harlem Hill - Non-Race Times,21872168
1227,CP_Pool.Downhill,7819975
1228,East to West Dr,9351631
1229,Harlem Hill Hot Lap,21422368
1230,"Red Light Alley (Don't run reds, you will be ticketed)",25285655
1231,HH from Adam Clayton,26028457
1232,5th Av to the Museum,13255474
1233,Malcolm X Boulevard Climb,4143596
1234,Lex 116 to 110 Sprint,8299049
1236,Randall's Island Greenway Sprint,10599853
1237,FDR RA Bypass,11983834
1238,New Wards Island Crit Circuit (Clockwise),18227805
1239,Randalls crit - windy stretch to the finish,20108693
1240,Harlem River lift bridge West,10577638
1241,"TriBoro Bridge, Manhattan to Wards Island",4457582
1242,Agility Test,18302020
1243,Randalls Island Technical Section,28474355
1244,Randalls crit - 5 laps,20108707
1245,Under the bridge sprint,10490584
1247,Sunken Meadow Half Loop Sprint,10671237
1249,Triboro: Bronx to Randall's,15517384
1250,bump to the bronx,3656868
1251,Beer  & Doritos #1,8176056
1252,Short rough climb,10955484
1254,3rd Ave. Mafia Sprint,2175453
1256,Romola Dr Climb,801992
1257,Cooper Climb ,15785383
1258,Byron & Cooper Steak Night,8307192
1259,SR park hill,28380623
1260,Romola Bridge ,29611156
1281,Queens Blvd Blast,11122409
1304,CR Final Sprint,31852658
1305,156 Ave (77st to Belt Pkwy),8118069
1312,HD,5069744
1313,Pineglass Trail,9869462
1314,squirrel squash,8411241
1315,Forest Park Bridle Path,6892967
1326,climb #2,7381007
1327,67th Ave to 102nd to 108th,30499412
1331,Jewel to 164th,32518628
1332,69th ave sprint,29067864
1343,Flushing Meadows Loop - CW,9891816
1344,Queensboro VFW Hill,26243832
1345,Flushing Meadows Loop - CCW,9555217
1346,164st to Kissena via Booth drop,10850534
1350,60th Avenue Climb,25332362
1351,Loop from the park,34350018
1352,unisphere ccw,9435949
1353,Around the World! clockwise,9493565
1355,Underhill Along the Golf Course,10483409
1357,Industry Pond Counterclockwise,5447406
1358,Industry Pond Clockwise,12914836
1360,KWM Loop,35442619
1362,Flushing Meadow Full Loop,673762
1363,Flushing Meadow Park Northern Loop,670022
1365,Roosevelt E to College Point S,30649997
1372,W/B 3/4 o' Flushing Bay Promenade,10621148
1373,Crocheron's Hump,29999169
1374,Crocheron Climb to Flushing,29999162
1375,23nd ave union-171st ,33039763
1376,20 out ,9239880
1378,11th to Malba,31273769
1385,Breezy Point Sand Trail,24478874
1386,gravity apply  in a different way here,30231637
1388,Food truck entrance to Rockaway point Blvd and back ,8333274
1389,Food truck entrance to Rockaway point Blvd and back ,8333258
1390,Last Sprint Effort,9595982
1391,Jacob Riis Park Promenade NE,21339874
1392,Jacob Riis Park Promenade SW,21339886
1393,Riis Dunes ,19245862
1395,Seagate W 37th,21498852
1396,Calvert Vaux Loop: North Entrance start,34712337
1397,Coney Mini Loop,31088872
1398,Calvert Vaux Loop,34712307
1400,Cropsey Ave Bridge to Neptune Ave,21080445
1401,MCU Park to Thunderbolt,21189281
1402,Stillwell Ave: Neptune to Harway,25032925
1403,MCU Park Sprint to Coney Island Station,21080471
1404,Cropsey Bridge ,10932907
1405,Crispy Bridge Outta Coney,31088883
1406,Mrs. Lincoln stroll,12793842
1407,King Neptune is Uzbekistani ,12881204
1408,banner to manor,7304932
1409,Over the Belt and to the Bay,1641434
1410,Manhattan Beach - West End to West End,15331608
1411,Shore Pkwy Corner to Corner,11686797
1412,Shore Blvd Complete,3825976
1413,Brighton Beach Ave Boogie-down beat,12881183
1414,Brighton 10th Street,25193552
1415,B14th to Ocean Parkway West,32174921
1416,Oriental Blvd Amherst Start,5196901
1417,Oriental Blvd In and Out,4253561
1419,Finish at belt ,1587212
1420,Jamaica Bay Loop,1517729
1423,floyd abba,15990992
1424,Floyd Mini Crit Lap Reverse,24546960
1425,Floyd Bennett Field: Mini Crit 3 Laps CCW,24600375
1426,Dead Horse to Flatbush,33841246
1428,W Bound 116th St. Straightaway,22621356
1429,E Bound 116th Straightaway,22621370
1430,W Bound 116th to End of BW,22621361
1431,Potholes Galore!,21542022
1432,W Bound Concession Sprint,22621354
1433,Rockaway Triathlon Bike 9/22/19,21872746
1434,RBB x CBB Westbound,33500205
1435,Shore Front Pkwy Complete Loop,35057229
1436,Vernon to Erie,18782206
1437,Erie to Vernon,15819909
1438,Ocean sprint,9428440
1439,Ocean Blvd Loop,21125042
1440,Shore Pkwy: Ceasarâ€™s Bay to 26th Ave,22644367
1441,Bobby G gunnin' for Bay Pkwy,4994730
1442,th Street Climb,5823758
1443,S HUMP,24900048
1444,U HUMP,24463185
1445,T HUMP,26158719
1446,T HUMP (east),26567014
1447,"Stillwell, how bout you?",32282763
1449,Avenue Y Sprint,9997848
1450,Ave U (19th to 17th),2256164
1451,East 12th Street Climb,3135403
1452,Avenue Y Sprint toward OP,9998400
1453,East 12th Street Climb,3527215
1454,East 7th Sprint,9986231
1455,U to X train down,18499103
1456,East 12th Street Climb,5770337
1457,15th Y-U,32275334
1458,Ave Why -Nostrand,32273869
1459,E 28th: t to z ,34884521
1460,Braggs to Ocean on W,32273796
1461,Gerritsend Marine in and out,33853353
1462,Smell Bank Creek,33971284
1463,"Guys, have a safe race!",13497654
1464,The Original Far Rock Loop,5283453
1465,Over the bridges and through the woods,1140281
1466,Social Distancing 14k ITT at FBF lap 1,23504152
1467,FBF Tuesdays,10227230
1468,Floyd Bennett Field: Long Course,25033013
1469,Floyd Old 6-24 Runway Southwest,25685860
1470,Social Distancing 14k (4 laps) ITT at FBF,23504078
1471,Floyd Bennett Field: 1st to 3rd corner,25032968
1472,Mangoseed Floyd Course,796796
1473,Floyd Bennett Crit Race Lap,5624022
1474,Spring Series Floyd Course,7003231
1475,Just Plane Wrong,29021546
1476,Cross Bay Veterans Memorial Bridge Northbound,21498899
1477,Cross Bay Veterans Memorial Bridge Downhill,21498920
1478,easy crimes ride,6263156
1479,Cross Bay Bridge,1488607
1480,Beach Chan 1,33496024
1481,Up the Cross Bay Br.,32101102
1482,Rockaway Boardwalk Sprint (East),11774871
1483,Rockaway Boardwalk Sprint (West),11774686
1484,up the bridge,15789456
1485,5T FBW TT,15222032
1486,BPTT - Full (Boardwalk Both ways),17679408
1487,Atlantic Beach Bridge (South),9721144
1488,Atlantic Beach Bridge (North),15470538
1489,O'Donohue Park sprint,10702895
1490,B13 to B125 ramp to B13 TT,21484542
1491,Third Time's The Charm (B9-126),16381628
1492,Back Lawrence Alpe D'Huez,10525803
1493,Sprint over the bridge,7936434
1495,Shore Rd Final Descent South,21014532
1497,2016 FBBT Mile 36,11803574
